PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
AK2242238,JOSEPH KATANIC MULTI PLEX,Community water system,Ground water,Kenai Peninsula Borough,-,25,,,
AK2214463,JOY LUTHERAN CHURCH,Community water system,Ground water,Anchorage Municipality,-,200,,,
AK2110342,JUNEAU,Community water system,Surface water,Juneau City and Borough,JUNEAU,"33,732",,,
AK2245901,KACHEMAK SELO #1,Community water system,Ground water,Kenai Peninsula Borough,-,25,,,
AK2247571,KACHEMAK SELO #2,Community water system,Ground water,-,-,125,,,
AK2247953,KACHEMAK SELO #3,Community water system,Groundwater under influence of surface water,Kenai Peninsula Borough,HOMER,150,,,
AK2130083,KAKE MUNICIPAL WATER,Community water system,Surface water,Wrangell City and Borough,KAKE,415,,,
AK2360141,KALTAG PUBLIC WATER SYSTEM,Community water system,Groundwater under influence of surface water,Yukon-Koyukuk Census Area,KALTAG,214,,,
AK2260993,KANAKANAK OLSENVILLE,Community water system,Unknown Primary Source,-,-,4,,,
AK2250087,KARLUK WATER SYSTEM,Community water system,Surface water,Kodiak Island Borough,KARLUK,52,,,
AK2120606,KASAAN,Community water system,Surface water,Ketchikan Gateway Borough,KETCHIKAN,46,,,
AK2270794,KASIGLUK WASHETERIA (AKIUK),Community water system,Ground water,Bethel Census Area,KASIGLUK,0,,,
AK2211897,KATHY O ESTATES,Community water system,Ground water,Anchorage Municipality,ANCHORAGE,242,,,
AK2243658,KB SUB. WATER SERVICE ASSOC.,Community water system,Ground water,Kenai Peninsula Borough,SOLDOTNA,170,,,
AK2240448,KENAI WATER SYSTEM,Community water system,Ground water,Kenai Peninsula Borough,KENAI,"8,375",,,
AK2291596,KENNY LAKE COMMUNITY WELL,Community water system,Ground water,Valdez-Cordova Census Area,COPPER CENTER,310,,,
AK2292330,KENNY LAKE FIRE HALL,Community water system,Ground water,Valdez-Cordova Census Area,COPPER CENTER,200,,,
AK2111233,KENSINGTON MINE CAMP - COMET BEACH,Community water system,Ground water,Juneau City and Borough,JUNEAU,4,,,
AK2121479,KETCHIKAN H2O WATER HAULERS,Community water system,Surface water purchased,Ketchikan Gateway Borough,KETCHIKAN,25,,,
AK2120232,KETCHIKAN PUBLIC UTILITIES,Community water system,Surface water,Ketchikan Gateway Borough,KETCHIKAN,"10,519",,,
AK2121402,KFP GREEN FLOAT CAMP BARGE,Community water system,Surface water,-,-,35,,,
AK2340230,KIANA WATER SYSTEM,Community water system,Ground water,Northwest Arctic Borough,KIANA,455,,,
AK2260244,KING COVE,Community water system,Ground water,Aleutians East Borough,KING COVE,972,,,
AK2218561,KINGS WAY ASSEMBLY OF GOD,Community water system,Ground water,-,-,100,,,
AK2212819,KINGSBERRY HOMEOWNERS ASSOC.,Community water system,Ground water,Anchorage Municipality,ANCHORAGE,50,,,
AK2270736,KIPNUK WATER SYSTEM,Community water system,Surface water,Bethel Census Area,KIPNUK,639,,,
AK2111501,KIRKVOLD RV PARK,Community water system,Surface water purchased,-,-,45,,,
AK2340117,KIVALINA WATER SYSTEM,Community water system,Surface water,Northwest Arctic Borough,KIVALINA,452,,,
AK2120169,KLAWOCK,Community water system,Surface water,Ketchikan Gateway Borough,KLAWOCK,904,,,
AK2121081,KLAWOCK HEENYA CORP.,Community water system,Surface water,-,-,95,,,
AK2340565,KOBUK WATER SYSTEM,Community water system,Ground water,Northwest Arctic Borough,KOBUK,93,,,
AK2250011,KODIAK WATER SYSTEM,Community water system,Surface water,Kodiak Island Borough,KODIAK,"9,547",,,
AK2111502,KODZOFF ACRES MOBILE HOME PARK,Community water system,Surface water purchased,-,-,200,,,
AK2222830,KOHRING S/D,Community water system,Ground water,Matanuska-Susitna Borough,WASILLA,35,,,
AK2263006,KOKHANOK WATER & WW SYSTEM,Community water system,Surface water,Lake and Peninsula Borough,KOKHANOK,191,,,
AK2262335,KOKHANOK WATERING POINT,Community water system,Ground water,Dillingham Census Area,-,130,,,
AK2260040,KOLIGANEK WATER SYSTEM,Community water system,Ground water,Dillingham Census Area,KOLIGANEK,167,,,
AK2271025,KONGIGANAK WATER SYSTEM,Community water system,Surface water,Bethel Census Area,KONGIGANAK,539,,,
AK2270134,KOTLIK VILLAGE COUNCIL,Community water system,Surface water,Wade Hampton Census Area,-,413,,,
AK2272004,KOTLIK WATER SYSTEM,Community water system,Surface water,Wade Hampton Census Area,KOTLIK,617,,,
